,review,cluster
"('0',)",Review Text 21: Can't move to SD card takes up too much space on my phone uninstalled,0
"('2',)",Review Text 69: Alarms do not work. I've missed at least 50% so far because it never asks  me to fill it in. Can't fill in parts you've missed or even go backwards if  you accidentally click yes instead of no.,2
"('0',)","Review Text 77: doesn't let you put in your diagnosed mental health issues, like PTSD and  panic attacks",0
"('4',)","Review Text 80: The app used to ask questions three times a day, before asking after your  overall mood. The past week or so, these questions aren't populating at  all. Is this a bug? If so, please patch. If this is a new design, I won't  be using the app anymore.",4
"('0',)","Review Text 136: Like all the thing had to do was say ""Hey, being mindful today?"" and attach  an achievement structure. To the extent that it's a game, it changed the  rules halfway through, forgot what hours I was asleep or awake, and  generally pulled the rug out from under me half a dozen time. Good thing  it's only people's mental health they're playing with.",0
"('0',)",Review Text 144: This recent update wiped out my last eight days information. I improved my  mood in these days very much which makes me so pissed that I can't use them  into my final results because it shows that I didn't have any entries from  April 12 - April 19. Please fix this issue. I also dislike the new day  overview its kinda messy. In the previous updates it was easy and  organized. One last thing is the remainders. Yesterday I didn't get a  reminder for my last entry of the day. Please fix this issue too. I love  your app and I recommend it to many of my friends. So please fix these  issues.,0
"('0',)",Review Text 157: This app drags you through all of these days asking repetitive questions  and the end result is in no way whatsoever comprehensive. It's vague and  does not even touch on anxiety. It also doesn't always remind you to place  an entry and then will not allow you to go back and complete a missed one.  So disappointed with the three sentence result after 23 days. I'd recommend  using Daylio instead of this app. It's a mood diary that much more  efficiently helps you track your actions and moods which this app does  poorly and although Daylio doesn't provide a result at the end don't worry  because neither does this app! Rant over but wow what a waste of time.,0
"('0',)","Review Text 168: As someone diagnosed with depression and mood disorders, this app is  seriously lacking. I'd be in the middle of an panic attack and there wasn't  any questions pertaining to how I felt. Most of these options are too  limited to even make an assessment. Please go see a professional if you  think anything is wrong. Don't trust this. Thier response: Dear Kaylah, I'm  sorry to hear that Moodpath wasn't helpful for you at all. Currently, the  app is focusing on the criteria for a depressive episode (as defined by the  ICD-10 and DSM-5 classification), so there is no detailed screening for  anxiety disorders such as panic disorder. We will include questions on that  in the future.- Your Moodpath Team Thier title literally says ""depression  and anxiety"" and yet they are saying that they dont record anxiety? Then  why is it your title? Depression disorder includes mood- anxiety included.  Thier questions are not consistent which means questions from day 1 part 2  may not apply but do apply for day 1 part 3. But the questions are gone so  if you answer honestly it looks like you don't have depression. Depression  covers mood, behavioral, cognitive, sleep, and much more. Asking a total of  what 10 questions per day at random is not a diagnosis. Or even an attempt  at one. Your depression can lead to ocer eating, not under eating. It can  lead to anger, not sadness. This isnt reliable. Sorry.",0
"('2',)","Review Text 184: it's a good concept, but it won't take me past the first screen. doesn't  work - wish it did. edit: you said it was fixed? it's still not working :(",2
"('0',)",Review Text 203: I haven't received my result yet even though I have finished the 14 days  test. What happen? Is this bug?,0
"('2',)",Review Text 219: Never worked when I would agree to any of the contents. It would just stay in the confirmation screen and never asked me any questions.,2
"('0',)","Review Text 230: I did the 14 days and now it won't let me see my result. All it says on the  screen is ""What does this mean to me?"" Slightly disappointed.",0
"('2',)",Review Text 242: It literally didn't work from the get go. Don't get it. Wasted a lot of  time.,2
"('2',)",Review Text 245: Does not work. Can't get past the stage of the text box explaining about  feelings. Waste of time. Wish it worked.,2
"('5',)",Review Text 246: Complete waste of my time. Filled it in for two weeks and all it says it to answer questions for another two weeks. Pointless.,5
"('0',)","Review Text 248: Probably just overlooking the settings, but never any reminders or  notifications from the app.",0
"('0',)",Review Text 257: App wouldn't even load past the agreement of the privacy terms. Lame.,0
"('0',)","Review Text 258: I love the app, only reason for 2 stars is that after the most recent  update I'm no longer receiving my daily reminders to log my mood!",0
"('0',)","Review Text 287: I loved this app before the last update. But since then, it doesn't send me  notifications anymore.",0
"('5',)","Review Text 383: Really enjoyed this app, but with the new updated I decided to clear my  saved data and start over. Now, after I've answered all the starting  questions (wake up time etc), it just stops after I press 'bye'. Nothing  happens. I tried closing and reopening, but that just completely resets it.",5
"('5',)","Review Text 385: I really liked it until the latest update. I like the features added, but it's EXTREMELY laggy now, and sometimes when I hit submit it doesn't do anything, then crashes. When I reload it has like 3 entries at the same time, all copies. Please fix.",5
"('2',)","Review Text 388: I really liked the app until it updated about a week ago. Then the notifications feature stopped working, so it became useless for me.",2
"('5',)",Review Text 390: The app crashed at the beginning and I tried to reload the app over and  over but it keeps crashing not recommending this app,5
"('4',)","Review Text 391: Latest minor update throws up a ""not connected to internet error"" all the time and so doesn't save my record.  Last major update cluttered the interval questions, making it a more tedious, and less useful, process.",4
"('5',)","Review Text 396: Doesn't account for which timezone you're in. Getting notifications at 2am is ludicrous, it needs to account for the time of your clock.",5
