,review,cluster
"('2',)","Review Text 1: I absolutely love Moodpath. I was in a very rough situation when I first  downloaded this app because I was concerned about my mental state. As I  continued to use Moodpath, I realized that it was very helpful in lettibg  me express my emotions at that moment. You're able to stop what you're  doing and take a small reflective survey throughout the day. It helps  unwind just for a little and it just helps you get through your day.",2
"('4',)",Review Text 2: Great app for keeping up with daily issues. Myself personally needs this  because of the train wreck inside my head...icant keep up with moods and  things that I need to tell my Dr. This app also describes the many  different possibilities your moods could be. Key to second guessing my  phyciatrist. 😀,4
"('0',)",Review Text 3: This app is helping me understand who I am as a person and what is causing  my depression. It gives you quick question to answer and if you show a sign  of depression then they ask how hard is it to deal with. I feel like this  app has done its research and wants the best for their user.,0
"('7',)","Review Text 4: Results were very helpful, except after the first survey it says I have a  problem with ""suicidal ideation"" because twice I said that I think about  death a lot... Even though I do think about death quite a bit and it's  pretty distressing, I never actually think about suicide and I wish there  were some way to specify this. (Edit: Thanks for reply :) )",7
"('7',)","Review Text 5: Great app! I love how it helps you reflect on past moods so you can perhaps  see what might be influencing them! Two problems (else I would gladly give  5 stars): 1: I don't receive notifications, even though I have them enabled  in settings 2: not enough emotions. Perhaps they should change daily? That  way the number stays the same, but you get a lot more opportunity to  reflect on your different emotions. Many thanks to the developers!",7
"('7',)","Review Text 6: I've been struggling with depression on and off for years, and in my head I  don't need an app like this. However after I completed the first section I  was able to use the app as a talking point with my parents, who until quite  recently had a very hard time figuring out what was going on with me and  how to help. The app is well designed and gentle with its heavy subject  matter. I'm going to keep using it both for me, and for the benefit of  those around me who love me but don't necessarily understand the struggle.",7
"('0',)","Review Text 7: It gives reminders at 7am, noon, and like 6pm, but I often feel worst at  10pm, so this doesn't get the whole picture and I can't see to find a way  to adjust the time notifications come through except the wake up time. I  also wish there were more options in the select how you feel and why you  feel that way sections. There are only like 10 positive feelings and 10  negative ones, and sometimes they don't match my emotions precicely. The  survey questions seem relevant and well set up.",0
"('6',)","Review Text 8: Been using in consistently during the past few days and gotta say I'm very  satisfied. As many comments suggest, a larger number of possible emotions  would be a good addition, however as of now it covers a good bunch. Only  things I've experienced is that sometimes i don't get the notification,  which may be an issue with my phone, and also that sometimes the entries  are recorded twice on the same time, which may affect the averaging of  results. Great nonetheless",6
"('2',)","Review Text 9: I've just downloaded this app, and so far it's been cathartic just letting  out some emotions. It's nice. It has loads of information on depression and  some other topics, and I believe that it has a lot of potential to be a  very helpful app.",2
"('5',)",Review Text 10: It's been helping me keep my stress down and things I need to do and stop  doing. Something that really made me think was the change in appetite. I  didn't think about how often I was putting off food do to stress and fear  that someone would yell at me for eating.,5
"('7',)","Review Text 11: I'm on my first day and I love it so far. I'm currently in therapy and  making great progress, and starting to look at ways to maintain that  progress post-treatment and especially post-partum (currently pregnant with  my first!) I think this app will be one of my #1 tools. 😊",7
"('7',)","Review Text 12: Very helpful, great content, very informative! Could be a bit more specific  about emotions, even the new adds do not quite cover the rage of human  emotions, but you're not far off!",7
"('2',)","Review Text 13: when the app was freexing on me i notified and received a response that  alone is a plus. ive been following along withe app and think itvmay be of  help. I wouldnt have followed the protocal this long if didnt see any sense  in it. i believe this is an "" honest app "" .",2
"('7',)","Review Text 15: I love this app, it is really helping me to see what patterns I have been  creating without realising and its showing me a new way to look at things  iam on day 13 so far will keep you updated",7
"('4',)",Review Text 16: This app has helped me so much to cope with my emotions and mood swings.,4
"('5',)",Review Text 17: Really helps me keep tract of my moods through out the day which is really  helpful for my doctor to look at Also the diagnosis was correct for me,5
"('0',)",Review Text 19: It keeps up with you and I love it. And when I DON'T feel up to tasks in  school I can pull up the doctors note,0
"('6',)","Review Text 20: Haven't spent much time on the app but I can already tell it is extremely  well put together with a proven algorithm, good visuals, and a ton of  information on the topic. Very optimistic.",6
"('4',)",Review Text 22: Something to keep me at Bay with moods. Just hard to write it all down,4
"('7',)",Review Text 23: Very professional & insight provoking. Encourages me to develop positive  attitudes to improve myself,7
"('5',)","Review Text 24: An exceptionally well made app that really has helped me see what I have to  work on/fix, to better my mental state",5
"('1',)",Review Text 25: This app has really helped me talking with someone even though it's a bot  but they give you the treatment you need.,1
"('2',)",Review Text 26: This app is amazing. It explains things in a way that helps me understand  and ways to work through it,2
"('7',)",Review Text 28: A brilliant insightful App. I would like my comments to be linked to  choices in that I can add detail comment to my choices. I recommend this  app.,7
"('6',)",Review Text 29: It has been a useful tool through my rough journey and it also packed with  good knowledge.,6
"('0',)",Review Text 30: Helpful its easy to use and understand i feel like i can vent a lot on the  app and i feel better when i let it out,0
"('4',)",Review Text 31: My self checking mood is helpful. I have bipolar one that I manage everyday  this helps keep me calm.,4
"('2',)",Review Text 33: It's very helpful and makes it very understanding of my situation. Great app,2
"('0',)",Review Text 35: Really good. It helps me analyze my feelings in order to cope better.,0
