,review,cluster
"('2',)",Review Text 2: Great app for keeping up with daily issues. Myself personally needs this  because of the train wreck inside my head...icant keep up with moods and  things that I need to tell my Dr. This app also describes the many  different possibilities your moods could be. Key to second guessing my  phyciatrist. 😀,2
"('4',)","Review Text 4: Results were very helpful, except after the first survey it says I have a  problem with ""suicidal ideation"" because twice I said that I think about  death a lot... Even though I do think about death quite a bit and it's  pretty distressing, I never actually think about suicide and I wish there  were some way to specify this. (Edit: Thanks for reply :) )",4
"('4',)","Review Text 11: I'm on my first day and I love it so far. I'm currently in therapy and  making great progress, and starting to look at ways to maintain that  progress post-treatment and especially post-partum (currently pregnant with  my first!) I think this app will be one of my #1 tools. 😊",4
"('2',)","Review Text 12: Very helpful, great content, very informative! Could be a bit more specific  about emotions, even the new adds do not quite cover the rage of human  emotions, but you're not far off!",2
"('6',)",Review Text 17: Really helps me keep tract of my moods through out the day which is really  helpful for my doctor to look at Also the diagnosis was correct for me,6
"('2',)","Review Text 66: Re-written my review after the update. I much prefer the previous style and  fewer questions. This new version seems more complicated than it needs to  be and forces you to fill in the faces before you can access the moodpath,  not great when it gets stuck in a loop asking same question.",2
"('1',)","Review Text 67: I love it! It helped me boost my mood more often than not, us using The  Secret I entered more positive moods even if not the case always &  gradually believed it which worked and right now I am grateful for my  happiness",1
"('3',)",Review Text 68: I like this app a lot. It really helps give a bigger picture. I wish there  were more emotions and experiences to choice from in the daily check in. I  often find that they don't quite represent my state so I select something  close to it but can feel like it has a different meaning.,3
"('4',)","Review Text 70: I love this app! It's been very helpful in many ways. like tracking the  worse episodes, tracking symptoms and giving information. I definitely  recommend if you are struggling and would like to keep record of all that's  gone down.",4
"('2',)","Review Text 74: This app is awesome! It gives you tons of information about depression, is  very nice and uses nice words, and it even has a link to a hotline numbers!  It's a great app!",2
"('6',)","Review Text 83: Really helpful. Great place to vent, very simple to use. Learned more than  I thought I would.",6
"('5',)","Review Text 152: I've only had the app for two days, but it's already helping so much! I  already know I have anxiety, OCD and depression, but being able to track my  ups and downs helps a lot. If you need to just let out or feelings or keep  track of yourself, this app is great!!",5
"('6',)",Review Text 155: Love the app. It has be really helpful. Only issues are the notifications  won't show up some times. Also there is no quick add shortcut or widget.  This would improve days collection allot. Thank you for making this app.,6
"('5',)","Review Text 156: I like this app. I think it's helpful and easy to understand, and I like  its simple design. A few complaints I have though are that sometimes the  app suddenly stops loading, never loading my information again, and I have  to redownload and start all over. It hasn't happened recently, but it did  happen a few times. Another complaint is that when I miss one of the  moodblocks, I can't go in and fill it with the emotions I remember. If I'm  too sad to get out of bed and check a notification, I need to be able to  document that mood after I feel good enough to get out of bed again. Having  the app entirely skip the morning, evening or afternoon doesn't exactly  help. My final complaint is the that the app sometimes doesn't send me  notifications despite me turning them on and off, restarting the app,  restarting the phone, etc. That's all I have in terms of  complaints—otherwise this app is very easy to handle and rather helpful for  me.",5
"('6',)","Review Text 254: The app is working now, thanks to the update. Really liking it so far.",6
"('4',)","Review Text 382: Loved using this app, it even made me try to objectively assess my thoughts  (which helped identify the recurring thoughts and cycles that I now try to  actively avoid). I do however think this app would greatly benefit from  adding an option to report depressive/anxious/etc episodes as they occur -  I find that having the periodic update system doesn't work for me. The last  period is too early to catch my peak depressive moments at night.",4
"('4',)",Review Text 384: This app's nice and does what it's supposed to do. Do you think you could  make it so you can delete extra entries though? My internet was being slow  so I accidentally saved multiples of the same entry. If there is a way to  delete them then I guess I'm missing something. Thank you!,4
"('4',)",Review Text 397: I honestly cannot say enough about this app and it's developers. Latest update has made this indispensable in what has been a very long battle.,4
"('8',)","Review Text 403: I've been using this for two weeks, about, I'm appreciating it more and more daily.   I normally journal every day, but when I'm depressed or hypomanic, that 500 words turns into 0, or 5000. Having 3 easy questions, and notifications on my phone, and a simple rating system really helps me track how things get. It's really improved my awareness of my emotions, even if I'm not a big fan of the ""hardly distressed"" rating it gives me when I'm manic. But it's easy to look over- I know it's not checking for mania symptoms.",8
"('3',)","Review Text 406: I haven't finished the 14 days yet but I am enjoying the app. I think that there should be a feature to where if you are feeling distressed you can alert the app of your feelings, because this has happened to me but I had already answered my questions for that segment and when the next block came I didn't feel as bad and the questions asked weren't how I was feeling.",3
